id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q18463915,President of Seychelles,Q1042,Q1042,,Q378039,,,,,
Q2688315,Vice President of Seychelles,Q1042,Q1042,,,1996-08,,,,Vice-President of Seychelles
Q109703968,Designated Minister,Q1042,Q1042,,,,,,,
Q109703840,"Minister for Agriculture, Climate Change and Environment",Q1042,Q1042,,,,,,,
Q109703830,Minister of Education,Q1042,Q1042,,,,,,,
Q109703794,Minister for Employment and Social Affairs,Q1042,Q1042,,,,,,,
Q110146615,"Minister of Environment, Energy and Climate Change",Q1042,Q1042,,,,,,,
Q110363614,Minister of Family Affairs,,Q1042,,,,,,,
Q104853126,Minister of Finance,,,,,,,,,Minister of Finance (Seychelles)
Q109703966,Minister for Fisheries,Q1042,Q1042,,,,,,,
Q6865848,Minister for Foreign Affairs,Q1042,Q1042,,,,,,,Minister for Foreign Affairs (Seychelles)
Q98966159,Minister of Health,Q1042,Q1042,,,,,,,
Q109703824,Minister for Internal Affairs,Q1042,Q1042,,,,,,,
Q109703901,"Minister for Investment, Entrepreneurship and Industry",Q1042,Q1042,,,,,,,
Q109703974,Minister of Lands and Housing,Q1042,Q1042,,,,,,,
Q109703895,Minister for Local Government and Community Affairs,Q1042,Q1042,,,,,,,
Q110146617,"Minister of Tourism, Civil Aviation, Ports and Marine",Q1042,Q1042,,,,,,,
Q109703889,Minister for Transport,Q1042,Q1042,,,,,,,
Q109703905,"Minister for Youth, Sports and Family",Q1042,Q1042,,,,,,,
Q109704313,Speaker of the National Assembly of Seychelles,,,,,,,,,
Q109704339,Chief of Defence Forces of Seychelles,,,,,,,,,
Q109704406,Governor of the Central Bank of Seychelles,Q1042,,,,,,,,
