position,person,personID,start,end
President,France-Albert René,Q224986,1977-06-05,2004-04-16
President,James Michel,Q57476,2004-04-16,2016-10-16
President,Danny Faure,Q5220343,2016-10-16,2020-10-26
President,Wavel Ramkalawan,Q1568174,2020-10-26,
Vice President,James Michel,Q57476,1996-08,2004-04-16
Vice President,Joseph Belmont,Q12877508,2004-04-16,2010-06-30
Vice President,Danny Faure,Q5220343,2010-06-30,2016-10-16
Vice President,Vincent Meriton,Q20089124,2016-10-28,2020-10-27
Vice President,Ahmed Afif,Q64010186,2020-10-27,
Designated Minister,Macsuzy Mondon,Q27914753,2016-10-28,2020-11-03
Designated Minister,Jean-François Ferrari,Q6169248,2020-11-03,
"Minister for Agriculture, Climate Change and Environment",Flavien Joubert,Q109703838,2020-11-03,
Minister of Education,Macsuzy Mondon,Q27914753,2010,2016
Minister of Education,Jeanne Siméon,Q56249687,2018-04-27,2020-11-03
Minister of Education,Justin Valentin,Q101007296,2020-11-03,
Minister for Employment and Social Affairs,Patricia Francourt,Q101198632,2020-11-03,
"Minister of Environment, Energy and Climate Change",Didier Dogley,Q21015395,2017-07-07,2018-04-26
Minister of Family Affairs,Jeanne Siméon,Q56249687,2017-03-15,2018-04-26
"Minister for Finance, Economic Planning & Trade",Jean-Paul Adam,Q17183684,2015-02,2016-10
"Minister for Finance, Economic Planning & Trade",Maurice Loustau-Lalanne,Q56380785,2018-04-27,2020-10-29
"Minister for Finance, Economic Planning & Trade",Naadir Hassan,Q101005240,2020-11-03,
Minister for Fisheries,Jean-François Ferrari,Q6169248,2020-11-03,
Minister of Foreign Affairs,Jean-Paul Adam,Q17183684,2010,2015
Minister of Foreign Affairs,Sylvestre Radegonde,Q101110528,2020-11-03,
Minister for Health,Macsuzy Mondon,Q27914753,2006,2010
Minister for Health,Peggy Vidot,Q101038872,2020-11-03,
Minister for Internal Affairs,Macsuzy Mondon,Q27914753,2016-10,2020-10
Minister for Internal Affairs,Errol Fonseka,Q109703822,2020-11-03,
"Minister for Investment, Entrepreneurship and Industry",Devika Vidot,Q101198923,2020-11-03,
Minister of Lands and Housing,Billy Rangasamy,Q109703973,2020-11-03,
Minister for Local Government and Community Affairs,Rose-Marie Hoareau,Q109703892,2020-11-03,
"Minister of Tourism, Civil Aviation, Ports and Marine",Maurice Loustau-Lalanne,Q56380785,2016-12-30,2018-04-26
"Minister of Tourism, Civil Aviation, Ports and Marine",Didier Dogley,Q21015395,2018-04-27,2020-10-30
Minister for Transport,Antony Derjacques,Q109703887,2020-11-03,
"Minister for Youth, Sports and Family",Marie-Celine Zialor,Q109703904,2020-10-31,
Speaker of the National Assembly,Roger Mancienne,Q102407168,2020-10-28,
Chief of Defence Forces,Michael Rosette,Q109704329,2021-01-01,
Governor of the Central Bank,Caroline Abel,Q16161140,2012-03-14,
