position,person,personID,start,end
President,Wavel Ramkalawan,Q1568174,2020-10-26,
Vice President,Ahmed Afif,Q64010186,2020-10-27,
Designated Minister,Jean-François Ferrari,Q6169248,2020-11-03,
"Minister for Agriculture, Climate Change and Environment",Flavien Joubert,Q109703838,2020-11-03,
Minister of Education,Justin Valentin,Q101007296,2020-11-03,
Minister for Employment and Social Affairs,Patricia Francourt,Q101198632,2020-11-03,
"Minister for Finance, Economic Planning & Trade",Naadir Hassan,Q101005240,2020-11-03,
Minister for Fisheries,Jean-François Ferrari,Q6169248,2020-11-03,
Minister of Foreign Affairs,Sylvestre Radegonde,Q101110528,2020-11-03,
Minister for Health,Peggy Vidot,Q101038872,2020-11-03,
Minister for Internal Affairs,Errol Fonseka,Q109703822,2020-11-03,
"Minister for Investment, Entrepreneurship and Industry",Devika Vidot,Q101198923,2020-11-03,
Minister of Lands and Housing,Billy Rangasamy,Q109703973,2020-11-03,
Minister for Local Government and Community Affairs,Rose-Marie Hoareau,Q109703892,2020-11-03,
Minister for Transport,Antony Derjacques,Q109703887,2020-11-03,
"Minister for Youth, Sports and Family",Marie-Celine Zialor,Q109703904,2020-10-31,
Speaker of the National Assembly,Roger Mancienne,Q102407168,2020-10-28,
Chief of Defence Forces,Michael Rosette,Q109704329,2021-01-01,
Governor of the Central Bank,Caroline Abel,Q16161140,2012-03-14,
