wanted,position,positionid,from,start,end
Q17183684,Minister for Health,Q98966159,Q101038872,2020-11-03,
Q20089124,"Minister for Investment, Entrepreneurship and Industry",Q109703901,Q101198923,2020-11-03,
Q20089124,Minister of Foreign Affairs,Q6865848,Q101110528,2020-11-03,
Q21015395,Minister of Foreign Affairs,Q6865848,Q101110528,2020-11-03,
Q20089125,Minister of Education,Q109703830,Q56249687,2018-04-27,2020-11-03
Q20089126,"Minister of Tourism, Civil Aviation, Ports and Marine",Q110146617,Q56380785,2016-12-30,2018-04-26
Q20089124,Designated Minister,Q109703968,Q27914753,2016-10-28,2020-11-03
